id,name_th,name_en,province_id
141,บ่อทอง,บ่อทอง,20
142,เมืองระยอง,เมืองระยอง,21
143,เขาชะเมา,เขาชะเมา,21
144,แกลง,แกลง,21
145,บ้านค่าย,บ้านค่าย,21
146,บ้านฉาง,บ้านฉาง,21
147,ปลวกแดง,ปลวกแดง,21
148,นิคมพัฒนา,นิคมพัฒนา,21
149,วังจันทร์,วังจันทร์,21
150,เมืองจันทบุรี,เมืองจันทบุรี,22
151,ขลุง,ขลุง,22
152,ท่าใหม่,ท่าใหม่,22
153,แหลมสิงห์,แหลมสิงห์,22
154,โป่งน้ำร้อน,โป่งน้ำร้อน,22
155,มะขาม,มะขาม,22
156,นายายอาม,นายายอาม,22
157,แก่งหางแมว,แก่งหางแมว,22
